,Unnamed: 0,id,title,desc,authors,categories,averageRating,maturityRating,publishedDate,pageCount
0,0,L2EQuwEACAAJ,Harry Potter and the Half-Blood Prince,"As Harry enters his sixth year at Hogwarts, a storm is brewing in the battle between good and evil, a battle that promises to have incredible consequences for the magic world.",['J. K. Rowling'],['England'],4.5,NOT_MATURE,2005,672
1,1,YlMOvgAACAAJ,Harry Potter and the Half-blood Prince,Paperback edition of the sixth book in J.K. Rowling's bestselling series.,['J. K. Rowling'],"[""Children's stories""]",4.5,NOT_MATURE,2006,607
2,2,8V9nnAEACAAJ,Harry Potter and the Half-Blood Prince,Sequel to: Harry Potter and the Order of the Phoenix.,['J. K. Rowling'],['Juvenile Fiction'],4.5,NOT_MATURE,2013-08-27,652
3,3,1YwtPwAACAAJ,Harry Potter and the Half-Blood Prince,"Sixth-year Hogwarts student Harry Potter gains valuable insights into the boy Voldemort once was, even as his own world is transformed by maturing friendships, schoolwork assistance from an unexpected source, and devastating losses.",['J. K. Rowling'],['Juvenile Fiction'],4.5,NOT_MATURE,2007,831
4,4,ONbSoEKGthgC,ハリー・ポッターと謎のプリンス - Harry Potter and the Half-Blood Prince,ヴォルデモートの復活のせいで、夏だというのに国中に冷たい霧が立ち込めていた。そんな中を、ダーズリーの家にダンブルドアがやって来るという。いったい何のために? そして、ダンブルドアの右手に異変が......。ホグワーツ校では、思いもかけない人物が「闇の魔術に対する防衛術」の新しい先生となり、授業を受け持つことになった。一方ハリーは、突然「魔法薬」の才能を発揮する。授業はますます難しくなるが、ホグワーツの6年生は青春真っ只中。 ハリーには新しい恋人が現われ、ロンとハーマイオニーは仲たがいする。しかし、ドラコ・マルフォイだけは不可解な行動をとる。最後に起こる衝撃のどんでん返し。そして悲しい別れ。17年前の予言は、ハリーとヴォルデモートとの対決を避けられないものにした。過酷な運命に立ち向かう16歳のハリー、物語は第7巻の最終章へともつれこむ。,['J.K. Rowling'],['Fiction'],5.0,NOT_MATURE,2015-12-08,996
5,5,FvFNPgAACAAJ,Harry Potter and the Order of the Phoenix,"The phenomenal bestseller is now in paperback. In his fifth year at Hogwart's, 15-year-old Harry faces challenges at every turn, from the dark threat of He-Who-Must-Not-Be-Named to the rise of Ron Weasley as the keeper of the Gryffindor Quidditch Team. Illustrations.",['Joanne Kathleen Rowling'],['Juvenile Fiction'],5.0,NOT_MATURE,2004-08-10,766
6,6,nqRlPwAACAAJ,Harry Potter and the Order of the Phoenix,"When the government of the magic world and authorities at Hogwarts School of Witchcraft and Wizardry refuse to believe in the growing threat of a freshly revived Lord Voldemort, fifteen-year-old Harry Potter finds support from his loyal friends in facing the evil wizard and other new terrors.As Harry faces his upcoming fifth year at Hogwarts Academy, there are increasing rumors of dark times coming and of Lord Voldemort's return to power, and a secret anti-Voldemort society, The Order of the Phoenix, begins meeting again.",['J. K. Rowling'],['Juvenile Fiction'],4.0,NOT_MATURE,2008-08-11,870
7,7,ZFuaPwAACAAJ,Harry Potter and the Half-blood Prince,"J.K. Rowling's Harry Potter and the Half-Blood Prince will be published on July 16, 2005, in Canada, the United Kingdom, the United States, Australia, New Zealand and South Africa. Harry Potter and the Half-Blood Prince, by J.K. Rowling, is the sixth in the bestselling Harry Potter series.In the previous book, Harry Potter and the Order of the Phoenix, the last chapter, titled ""The Second War Begins,"" started:""In a brief statement on Friday night, Minister for Magic Cornelius Fudge confirmed that He Who Must Not Be Named has returned to this country and is once more active ... 'It is with great regret that I must confirm that the wizard styling himself Lord - well, you know who I mean - is alive and among us again,' said Fudge.""Harry Potter and the Half-Blood Prince takes up the story of Harry Potter's sixth year at Hogwarts School of Witchcraft and Wizardry at this point as Voldemort's power and followers are increasing day by day, in the midst of this battle of good and evil.The author has already said that the Half-Blood Prince is neither Harry nor Voldemort.Intriguingly, the opening chapter of Harry Potter and the Half-Blood Prince has been brewing in J.K. Rowling's mind for 13 years.All five Harry Potter books are available in various editions: Harry Potter and the Philosopher's Stone, Harry Potter and the Chamber of Secrets, Harry Potter and the Prisoner of Azkaban, Harry Potter and the Goblet of Fire, as well as Harry Potter and the Order of the Phoenix.Raincoast will be simultaneously publishing the standard children's hardback edition (ISBN 0747581088) and an adult hardback edition (ISBN 074758110X). Both editions feature the same text but with different cover artwork.",['J. K. Rowling'],['England'],4.5,NOT_MATURE,2005,607
8,8,nmXTy4FPfcwC,Harry Potter and the Chamber of Secrets,"Witchcraft, wizardry - fiction.",['J. K. Rowling'],['Juvenile Fiction'],4.5,NOT_MATURE,1999,251
9,9,gal9MtXKC68C,Harry Potter Aur Razon Ka Kamra,"When the Chamber of Secrets is opened again at the Hogwarts School for Witchcraft and Wizardry, second-year student Harry Potter finds himself in danger from a dark power that has once more been released on the school.",['J. K. Rowling'],['Juvenile Fiction'],4.0,NOT_MATURE,2004,304
